Code,LocalCode,Name,G0,G1,G2,G3,G4,G5,G6,PeerGroup,OptimiserCategory,Type,IRDuration,Hurdle,E-score,S-score,G-score,ESG-score,Controversy-score,Controversy-Items,,Citicode,LastPrice,MarketCap,Exchange,ShortSell%,Date,Basic EPS,Total Revenues,Dividend per Share - Net,Total Assets,Total Liabilities,Growth of Net Income (%),Growth of Net Sales (%),Growth of Free Cash Flow (%),Return on Total Equity (%),Payout Ratio,Total Debt / Total Assets,Net Profit Margin (%),Interest Cover (EBIT)
ATCHBM00022,,AMI Mixed Asset - Aggressive,,,,,,,,,,PeerGroup,,,,,,,,,,MI:IMG.X,,,,,,,,,,,,,,,,,,
ATCHBM00023,,AMI Mixed Asset - Balanced,,,,,,,,,,PeerGroup,,,,,,,,,,MI:IMB.X,,,,,,,,,,,,,,,,,,
ATCHBM00024,,AMI Mixed Asset - Cautious,,,,,,,,,,PeerGroup,,,,,,,,,,MI:IMC.X,,,,,,,,,,,,,,,,,,
ATCHBM00025,,AMI Mixed Asset - Flexible,,,,,,,,,,PeerGroup,,,,,,,,,,MI:IMF.X,,,,,,,,,,,,,,,,,,
ATCHBM00026,,AMI Mixed Asset - Growth,,,,,,,,,,PeerGroup,,,,,,,,,,MI:MAG.X,,,,,,,,,,,,,,,,,,
ATCHBM00027,,AMI Mixed Asset - Moderate,,,,,,,,,,PeerGroup,,,,,,,,,,MI:MAM.X,,,,,,,,,,,,,,,,,,
ATCHBM00028,,AMI Property - Australia Direct,,,,,,,,,,PeerGroup,,,,,,,,,,MI:ADP.X,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHP-AU,BHP,BHP GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,14.3,8.1,4.2,27,4,Thermal coal,,0QLN,4450,2.25E+11,ASX,0.031320586,30/06/2023,3.833689,81411460000,2.55425,1.52E+11,79280915000,-58.1844,-17.3292,-23.755,29.4441,1.026855,0.237916,23.8465,25.212616
CBA-AU,CBA,COMMONWEALTH BANK OF AUSTRALIA,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,1,11.8,10.3,23,3,None,,0S1Q,9656,1.62E+11,ASX,0.044551876,30/06/2023,5.970414,26428000000,4.5,1.25E+12,1.18E+12,-6.3225,-16.9601,8.1481,14.0676,0.705351,0.234167,38.1792,0
CSL-AU,CSL,CSL LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Health Care,,,,,ASXStock,,,1.9,15.3,7.2,24,2,Animal testing,,0R0X,23235,1.12E+11,ASX,0.011428487,30/06/2023,6.836724,19998275000,3.5459,54441585000,27658020000,-2.705,25.5503,16.6906,13.8505,0.49453,0.337445,16.4838,7.934146
NAB-AU,NAB,NATIONAL AUSTRALIA BANK LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,2.1,11.3,10.1,24,3,None,,0PZ0,2805,88063283550,ASX,0.023681978,31/03/2023,2.310148,19532000000,1.61,1.05E+12,9.87E+11,8.9458,8.8737,2.2662,12.2031,0.580539,0.234753,37.4104,0
WBC-AU,WBC,WESTPAC BANKING CORPORATION CORP,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,1.7,10.5,11.9,24,4,None,,0SBN,2060,72286986200,ASX,0.034682995,31/03/2023,1.832785,19793000000,1.34,1.02E+12,9.46E+11,21.152,-39.6925,-3.765,8.9789,0.652533,0.197003,32.4104,0
ANZ-AU,ANZ,ANZ GROUP HOLDINGS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,1.9,10.1,7.5,19,3,None,,0P46,2471,74260641770,ASX,0.028214844,31/03/2023,2.437075,19838000000,1.55,1.11E+12,1.04E+12,5.7341,-13.287,-2.0134,10.9085,0.528447,0.172025,35.9713,0
WDS-AU,WDS,WOODSIDE ENERGY GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Energy,,,,,ASXStock,,,18.2,7.1,6.3,32,2,None,,0QJ4,3426,65051175000,ASX,0.029484612,30/06/2023,5.228595,27656517500,3.3656,85248845000,30131135000,99.5765,79.2656,87.4645,19.0049,0.693998,0.117716,35.845,0
MQG-AU,MQG,MACQUARIE GROUP LTD DEF,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,1.9,11.4,109,24,2,None,,0PUJ,16098,57860012738,ASX,0.011420092,31/03/2023,13.536727,19141000000,7.5,3.88E+11,3.54E+11,10.1147,11.546,-64.2036,16.4292,0.387881,0.450099,27.0727,0
WES-AU,WES,WESFARMERS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Discretionary,,,,,ASXStock,,,4.9,5.1,3.4,13,2,None,,0QIA,5052,57315647280,ASX,0.026975048,30/06/2023,2.177561,43550000000,1.91,26546000000,18265000000,4.8044,18.2203,15.0482,30.316,0.864908,0.420741,5.6601,10.891176
TLS-AU,TLS,TELSTRA GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Communication,,,,,ASXStock,,,4.9,12.6,6.3,24,2,None,,T6J3,381,44022366870,ASX,0.032166415,30/06/2023,0.167027,22702000000,0.17,45029000000,27213000000,14.218,6.6973,21.1496,11.79,1.018672,0.358169,8.4926,5.573578
WOW-AU,WOW,WOOLWORTHS GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Staples,,,,,ASXStock,,,6.3,8.9,4.2,19,2,None,,0QJ5,3522,42922684440,ASX,0.018461358,25/06/2023,1.332454,64294000000,1.04,33648000000,27083000000,-79.6067,5.6615,5.8601,25.7163,0.634116,0.467635,2.5165,4.216332
TCL-AU,TCL,TRANSURBAN GROUP STAPLED UNITS,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,1.6,3.5,3.9,9,2,None,,0QFI,1182,36412065540,ASX,0.011405495,30/06/2023,0.020806,4157000000,0.58,37720000000,24440000000,236.8421,22.0493,19.2909,0.6454,23.265625,0.499655,1.5395,1.413012
RIO-AU,RIO,RIO TINTO LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,14.6,11,6.6,32,4,Thermal coal,,0Q8F,11758,43647577280,ASX,0.050704951,30/06/2023,7.967472,78800115000,6.015513,1.47E+11,66408997500,-51.512,-12.8615,-34.6711,15.5266,0.910177,0.144306,16.3863,17.302297
FMG-AU,FMG,FORTESCUE METALS GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,12.7,7.8,4.5,25,2,None,,0R6E,2230,37763505725,ASX,0.020756781,30/06/2023,2.343628,25348677500,1.749999,42397545000,15355550000,-22.5754,-2.9844,-4.7207,27.1397,0.817423,0.188567,28.4393,35.127192
GMG-AU,GMG,GOODMAN GROUP UNITS,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,2.1,3.2,4.4,10,1,None,,0R8G,2074,35554088388,ASX,0.021526004,30/06/2023,0.830347,2991300000,0.3,24027200000,6002400000,-54.3087,-5.8393,-54.042,9.0561,0.360343,0.139866,52.1478,71.79661
ALL-AU,ALL,ARISTOCRAT LEISURE LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Discretionary,,,,,ASXStock,,,2.2,11.4,8.3,22,1,None,,0PIJ,3853,25013907180,ASX,0.015764615,31/03/2023,1.646749,5908700000,0.56,10011900000,3858700000,10.3395,12.4973,-4.8602,18.9639,0.316949,0.261978,18.4219,9.625396
STO-AU,STO,SANTOS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Energy,,,,,ASXStock,,,20.9,9.6,9.1,40,2,None,,0Q9B,767,24910418910,ASX,0.059592897,30/06/2023,0.789184,10503977500,0.357595,42789697500,20545185000,17.9469,8.5727,41.0591,11.9162,0.429971,0.201306,24.8176,13.163366
COL-AU,COL,COLES GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Staples,,,,,ASXStock,,,,,,17.5,,None,,PSY2,1527,20437245840,ASX,0.040977994,25/06/2023,0.823088,40591000000,0.66,18292000000,14936000000,4.7709,2.8296,6.5724,32.1604,0.76867,0.490214,2.705,4.576819
NCM-AU,NCM,NEWCREST MINING LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,15,7.5,5.3,28,3,None,,0PZJ,2335,20880287592,ASX,0,30/06/2023,1.30786,6773270000,0.525875,26325302500,8728022500,-10.7798,7.1547,-10.6107,6.6561,0.383033,0.116717,17.2582,9.194444
QBE-AU,QBE,QBE INSURANCE GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,1,9.8,8.4,19,2,None,,0Q5R,1560,23276526000,ASX,0.010072325,30/06/2023,1.083902,23260202500,0.445102,60920365000,47385845000,214.2857,5.8069,1865.3846,12.9102,0.385918,0.080476,7.2475,0
BXB-AU,BXB,BRAMBLES LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,1.4,8.6,4.1,14,0,None,,0QMZ,1311,18213788550,ASX,0.045217863,30/06/2023,0.761317,9522995250,0.394406,13099546250,8787371250,18.5403,10.0909,3.9268,24.322,0.453007,0.330825,11.0963,10.083007
JHX-AU,JHX,JAMES HARDIE INDUSTRIES CDI PLC,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,15.8,7.6,6.8,30,2,None,,0RD4,3909,17204368980,ASX,0.03021727,30/06/2023,1.713905,5605076250,0,6703704250,4120305750,1.1781,-1.108,7.0884,33.2513,0.255772,0.237353,13.5826,21.442666
SUN-AU,SUN,SUNCORP GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,0.9,8.9,9,19,2,None,,0QCU,1338,16946331960,ASX,0.029569867,30/06/2023,0.909205,18354000000,0.6,1.15E+11,1.02E+11,68.5756,18.2428,170.1107,8.871,0.50871,0.2376,6.2547,1.928208
S32-AU,S32,SOUTH32 LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,14.6,6.2,4.3,25,2,None,,MCNP,332,15090774480,ASX,0.044444425,30/06/2023,-0.056853,11324342500,0.121703,21882410000,7796472500,-106.4818,-19.8511,-52.2681,-1.7167,-5.023121,0.119541,-2.2953,7.741666
XRO-AU,XRO,XERO LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Information Technology,,,,,ASXStock,,,,,,16.1,,None,,GZYP,10669,15020776276,ASX,0.065302217,31/03/2023,-0.706831,1307638644,0,2326066236,1341607372,-1145.6879,26.3581,41.1461,-10.8756,0,0.459093,-8.1101,2.149433
SHL-AU,SHL,SONIC HEALTHCARE LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Health Care,,,,,ASXStock,,,0.1,11.1,6.9,18,1,None,,0QB9,2875,13550967500,ASX,0.026736884,30/06/2023,1.458132,8168948000,1.04,13014629000,5092767000,-53.1014,-12.5394,-37.0449,9.2238,0.701261,0.238262,8.3852,11.710382
COH-AU,COH,COCHLEAR LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Health Care,,,,,ASXStock,,,3,16.8,9.5,29,1,Animal testing,,0QYZ,24084,15813072720,ASX,0.052418672,30/06/2023,4.570998,1936100000,3.3,2568700000,819900000,3.9778,17.4604,12.3479,17.5047,0.656686,0.078561,15.526,43.223404
WTC-AU,WTC,WISETECHGLOBAL PTY LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Information Technology,,,,,ASXStock,,,,,,19.4,,None,,N42K,5816,10615441716,ASX,0.046025791,30/06/2023,0.647938,816800000,0.15,2658600000,764000000,9.0441,29.1996,17.0699,13.222,0.196041,0.096441,25.9794,52.015873
SCG-AU,SCG,SCENTRE GROUP,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,1.1,2.6,4.6,8,2,None,,KLDW,243,12612618540,ASX,0.015369304,30/06/2023,-0.005748,2531900000,0.165,36469500000,18060100000,-103.0807,6.3027,14.9702,-0.1423,-27.399328,0.439145,-1.1769,3.065863
IAG-AU,IAG,INSURANCE AUSTRALIA GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,1.4,9.8,8.6,20,2,None,,0RBY,567,13837895820,ASX,0.019124604,30/06/2023,0.339176,8817000000,0.15,35026000000,27977000000,139.7694,16.4114,116.6,13.6541,0.324519,0.075258,9.4363,10.427586
ORG-AU,ORG,ORIGIN ENERGY LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Utilities,,,,,ASXStock,,,,,,36.8,,None,,0Q1R,913,15728689240,ASX,0.007474745,30/06/2023,0.613169,16526000000,0.365,18948000000,10037000000,173.8278,13.9686,125.2004,11.1762,0.538388,0.174635,6.3838,1.324742
CPU-AU,CPU,COMPUTERSHARE LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,4.6,11.4,5.7,22,0,None,,0QZG,2479,14218119815,ASX,0.021497547,30/06/2023,1.106833,4809269613,0.7,9234943463,6018118008,95.3553,23.6009,114.4774,20.6826,0.480746,0.488703,13.8945,5.460882
NST-AU,NST,NORTHERN STAR RESOURCES LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,34.7,,None,,0Q0A,1169,13463431450,ASX,0.035811037,30/06/2023,0.507827,4131100000,0.265,12316200000,3832700000,29.4403,8.5332,32.9968,6.9956,0.436261,0.107346,14.1657,24.002832
RMD-AU,RMD,RESMED CDI INC,Growth,Australian Shares,Australian Shares,Australian Shares,Health Care,,,,,ASXStock,,,,,,26.4,,None,,0Q7O,2179,8516970140,ASX,0.164602342,30/09/2023,9.561296,6779968494,2.78946,10446196064,3859388377,15.2864,20.7099,10.7657,23.5967,0.291717,0.221881,20.7199,20.016404
PLS-AU,PLS,PILBARA MINERALS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,40.2,,None,,0Q41,367,10343514641,ASX,0.161964362,30/06/2023,0.799133,4064019000,0.25,5198835000,1808813000,325.6013,241.6316,257.0601,102.1405,0.137918,0.090779,58.8367,110.724601
MIN-AU,MIN,MINERAL RESOURCES LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,21.5,,None,,0PX3,5776,9997568078,ASX,0.089317686,30/06/2023,1.273667,4779100000,1.9,8395200000,4873400000,-30.3264,39.8215,66.8032,7.1928,1.650226,0.385232,5.0909,3.459459
ASX-AU,ASX,ASX LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,2.6,7.9,9.1,20,2,None,,0PJ8,5613,10866487350,ASX,0.029478009,30/06/2023,1.639116,1404300000,2.283,16833300000,13192700000,-37.6007,-2.535,15.9051,8.5226,1.441222,0.004669,22.5948,2.265986
QAN-AU,QAN,QANTAS AIRWAYS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,,,,27.8,,None,,0Q5Q,491,8467074050,ASX,0.043293918,30/06/2023,0.960396,19815000000,0,20354000000,20344000000,303.0232,131.2736,2835.7142,-1937.7777,0,0.330451,8.8115,9.161073
APA-AU,APA,APA GROUP UNITS,Growth,Australian Shares,Australian Shares,Australian Shares,Utilities,,,,,ASXStock,,,16.2,11.9,5.8,34,2,None,,0PGR,824,10376681440,ASX,0.017421304,30/06/2023,0.222881,2913000000,0.55,15866000000,13956000000,13.8528,6.8391,36.4605,12.6459,2.425855,0.764149,9.0284,2.017094
TLC-AU,TLC,THE LOTTERY CORPORATION LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Discretionary,,,,,ASXStock,,,,,,27.2,,Gaming,,VBNO,453,10082747160,ASX,0.014031089,30/06/2023,0.118968,3514400000,0.14,4370900000,4106100000,-23.6006,7.1524,45.6046,104.3341,0.66012,0.585691,7.5347,5.204737
RHC-AU,RHC,RAMSAY HEALTH CARE LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Health Care,,,,,ASXStock,,,3.2,11.2,7,21,1,Catholic values,,0Q6D,4868,9036435298,ASX,0.023279828,30/06/2023,1.250987,14963900000,0.75,21030200000,16207000000,8.7956,12.4057,18.7704,7.3929,0.733646,0.565201,1.9921,1.28413
SGP-AU,SGP,STOCKLAND STAPLED UNITS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,2.6,2.5,4,9,0,None,,0QC6,354,8450588880,ASX,0.184996708,30/06/2023,0.184688,2892000000,0.262,16640000000,6464000000,-68.139,0,15.9253,4.2654,1.43409,0.247415,15.2143,10.261904
BSL-AU,BSL,BLUESCOPE STEEL LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,13.3,11.6,6.4,31,2,None,,0QMI,1880,8564640800,ASX,0.027422767,30/06/2023,2.174219,18242500000,0.5,15935100000,4904400000,-64.0866,-4.1376,-46.9345,10.1746,0.230975,0.049356,5.5321,27.075134
MPL-AU,MPL,MEDIBANK PRIVATE LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,2.3,11.5,7.8,22,4,None,,KZ1K,343,9446230290,ASX,0.021502843,30/06/2023,0.185584,7494900000,0.146,4388800000,2304400000,29.7537,5.09,30.9177,25.3647,0.732733,0.0126,6.8193,405.722222
IGO-AU,IGO,IGO LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,26.9,,None,,0RBK,951,6409440625,ASX,0.247293886,30/06/2023,0.725106,1023900000,0.58,4737900000,947700000,65.9413,13.4138,-0.4545,15.1991,0.262065,0.0912,53.6282,2.418491
MGR-AU,MGR,MIRVAC GROUP STAPLED UNITS,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,1.9,2.4,4.4,9,2,None,,0PXD,182,7181465200,ASX,0.050372261,30/06/2023,-0.041835,1940000000,0.105,16882000000,6325000000,-118.2119,-17.5195,-5.8319,-1.5219,-2.466666,0.277099,-8.5051,3.480263
CAR-AU,CAR,CARSALES.COM LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Communication,,,,,ASXStock,,,,,,20.8,,None,,0QOV,2763,10409160420,ASX,0.038588674,30/06/2023,1.812639,781236000,0.61,4684658000,1560029000,301.4631,53.4612,49.241,31.3345,0.28833,0.265242,82.6404,5.709544
AKE-AU,AKE,ALLKEM LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,38.1,,None,,0Q1X,954,5718261881,ASX,0.081424318,30/06/2023,1.041341,1814721003,0,7838832483,2469271605,44.5039,62.1899,71.9209,15.7645,0,0.062777,36.5715,59.269385
AMC-AU,AMC,AMCOR CDI PLC,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,17.6,,None,,0PG5,1384,8407883040,ASX,0.041712071,30/06/2023,1.065465,22077735000,0.736225,25547007500,19401782500,30.1863,1.0313,3.6599,25.7076,0.68416,0.43557,7.1321,4.906896
DXS-AU,DXS,DEXUS STAPLED UNITS,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,2.5,0.8,3.4,7,0,None,,TEQW,648,6969661200,ASX,0.020643378,30/06/2023,-0.699818,861200000,0.516,18480200000,6215900000,-146.5808,3.429,-65.5498,-5.8277,-0.760196,0.289628,-87.4013,2.611374
SEK-AU,SEK,SEEK LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Communication,,,,,ASXStock,,,,,,11.6,,None,,0Q9M,2061,7341694200,ASX,0.083633946,30/06/2023,2.883883,1225300000,0.47,5230900000,2554500000,506.3981,9.7447,2.3142,8.8693,0.15592,0.290504,83.5387,5.60084
EDV-AU,EDV,ENDEAVOUR GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Staples,,,,,ASXStock,,,,,,17.7,,None,,T98S,494,6724055312,ASX,0.023021474,25/06/2023,0.295365,11884000000,0.218,11671000000,7962000000,6.8686,2.4747,20.5076,14.5629,0.744801,0.521634,4.4513,4.059523
GPT-AU,GPT,GPT GROUP STAPLED UNITS,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,2.1,2.8,5.3,10,1,None,,0R8J,362,6934388740,ASX,0.020296804,30/06/2023,-0.032104,861500000,0.248,16870400000,5631700000,-105.1593,6.2122,17.7871,-0.529,-7.786991,0.304983,-7.1387,2.997191
REA-AU,REA,REA GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Communication,,,,,ASXStock,,,0.1,8.4,6.7,15,0,None,,0Q6N,14371,7404748287,ASX,0.046815246,30/06/2023,2.696705,1392400000,1.58,2626600000,1109600000,-7.4584,-1.8399,-1.3468,23.935,0.608536,0.153506,25.5745,30.948571
TWE-AU,TWE,TREASURY WINE ESTATES LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Staples,,,,,ASXStock,,,8.2,8.9,4.4,21,2,Alcoholic beverages,,0QFL,1210,8734360800,ASX,0.039892045,30/06/2023,0.352567,2488300000,0.35,7091300000,3212400000,-3.3054,-1.7181,29.8716,6.6328,0.964243,0.273236,10.2278,3.262639
SOL-AU,SOL,WASHINGTON H SOUL PATTINSON & COMP,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,,,,14.1,,None,,0QHX,3342,8203214381,ASX,0.020210109,31/07/2023,2.157926,1197432000,0.87,9797187000,1062174000,5437.4546,-85.8255,-18.7212,8.1269,0.491239,0.044598,57.6834,38.987399
VCX-AU,VCX,VICINITY CENTRES,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,2.9,1.6,4.3,9,1,None,,0QPL,170,6578037375,ASX,0.036410825,30/06/2023,0.059641,1230500000,0.12,15584600000,4946500000,-77.6579,8.0352,7.7511,2.5228,1.920073,0.286269,22.0642,3.593203
ALD-AU,ALD,AMPOL LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Energy,,,,,ASXStock,,,19.3,8.7,4.8,33,1,None,,0QO1,3186,7592301720,ASX,0.14219388,30/06/2023,0.751573,39604800000,2,12619100000,8862300000,-80.7502,37.7074,-48.7083,4.6991,3.659408,0.285662,0.4522,0.806042
ALX-AU,ALX,ATLAS ARTERIA STAPLED UNITS,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,,,,7.3,,None,,0RFX,531,6009064261,ASX,0.022384095,30/06/2023,0.231334,149669000,0.4,8355000000,1814500000,17.9046,34.8697,118.7779,5.2433,1.569737,0.203459,205.1587,0.078364
AGL-AU,AGL,AGL ENERGY LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Utilities,,,,,ASXStock,,,21.8,6.4,4.4,33,2,None,,0PEX,1075,6508827225,ASX,0.017219394,30/06/2023,-1.878863,14157000000,0.31,15238000000,10119000000,-246.9767,7.0796,-7.9875,-21.8288,-0.095727,0.189198,-8.9284,5.096491
ORI-AU,ORI,ORICA LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,19.7,3.7,7.6,31,2,None,,0Q1O,1466,6677512720,ASX,0.009066249,31/03/2023,0.611035,8089900000,0.4,8304600000,4474300000,179.2234,37.5933,20.109,7.0137,0.45679,0.277087,3.3041,4.389196
AZJ-AU,AZJ,AURIZON HOLDINGS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,,,,23.3,,None,,0Q5S,342,6295207680,ASX,0.02013007,30/06/2023,0.149942,3511000000,0.15,11679000000,7326000000,-46.1988,15.1902,10.8494,7.393,1.192028,0.473328,7.861,3.230088
EVN-AU,EVN,EVOLUTION MINING LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,30,,None,,0R4Z,357,6551007120,ASX,0.03811883,30/06/2023,0.08912,2226931000,0.04,6752385000,3457509000,-49.429,7.8454,11.5213,4.9934,0.561012,0.270893,7.3423,4.244234
NXT-AU,NXT,NEXTDC LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Information Technology,,,,,ASXStock,,,,,,17.6,,None,,0PZR,1175,6057219000,ASX,0.021701828,30/06/2023,-0.055459,362369000,0,3849999000,1573381000,-380.5668,24.5066,16.1683,-1.29,0,0.374564,-7.0759,0.633058
WOR-AU,WOR,WORLEY LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,,,,28.2,,None,,0QJB,1639,6024369043,ASX,0.057225671,30/06/2023,0.070391,11326000000,0.5,10518000000,4917000000,-78.4883,16.8024,43.7665,0.8153,7.081081,0.213728,0.3266,4.786324
WHC-AU,WHC,WHITEHAVEN COAL LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Energy,,,,,ASXStock,,,,,,51,,Thermal coal,,0QIW,740,6190847400,ASX,0.087370705,30/06/2023,3.076619,6072334000,0.74,7510909000,2250384000,36.6855,23.2644,32.5055,56.3346,0.239425,0.025156,43.9378,320.824501
LYC-AU,LYC,LYNAS RARE EARTHS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,23.2,,None,,0RFR,705,6583395750,ASX,0.042641722,30/06/2023,0.340511,739279000,0,2638675000,475271000,-42.5569,-19.6448,16.7631,16.3121,0,0.07214,42.0228,-165.872911
SDF-AU,SDF,STEADFAST GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Financials,,,,,ASXStock,,,,,,22.8,,None,,JLDL,540,5608234800,ASX,0.045092835,30/06/2023,0.184567,1463600000,0.15,4885100000,2640200000,10.2564,23.2471,28.6983,11.2249,0.694503,0.21236,12.927,12.525806
CWY-AU,CWY,CLEANAWAY WASTE MANAGEMENT LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,,,,22.1,,None,,0QFG,224,4986784320,ASX,0.022482824,30/06/2023,0.00976,3558800000,0.049,6073300000,3127900000,-72.6235,18.382,30.3642,0.8432,4.763888,0.269244,0.6069,2.128272
IPL-AU,IPL,INCITEC PIVOT LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,,,,,ASXStock,,,,,,28,,None,,0RBI,274,5321696500,ASX,0.016940468,31/03/2023,0.506223,6860800000,0.27,10328300000,4052400000,97.9066,38.3973,33.2158,14.4871,0.53336,0.186603,14.3306,9.154311
LLC-AU,LLC,LENDLEASE GROUP STAPLED UNITS,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,5.2,7.9,7.7,21,2,None,,0RF1,621,4280689620,ASX,0.110092445,30/06/2023,-0.339677,10373000000,0.16,18214000000,11570000000,-134.3434,15.9487,105.1282,-3.4082,-0.452586,0.201218,-2.2365,0.265895
ALQ-AU,ALQ,ALS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,,,,,ASXStock,,,,,,20.1,,None,,0QO3,1073,5195122640,ASX,0.015259796,31/03/2023,0.602275,2279200000,0.397,3330100000,1951900000,52.8608,16.7742,21.772,22.0255,0.620192,0.434881,12.7764,9.21499
CHC-AU,CHC,CHARTER HALL GROUP STAPLED UNITS,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,,,,,ASXStock,,,,,,10.8,,None,,0QQ2,867,4100883990,ASX,0.016852531,30/06/2023,0.41459,787500000,0.4254,4072600000,817400000,-78.4765,-20.8139,-76.2669,5.9924,0.99643,0.126528,24.9015,12.996282
